"","male","ageyears","recid"
"1",1,56,0
"2",1,42,0
"3",1,37,0
"4",1,25,0
"5",1,23,0
"6",1,22,1
"7",1,23,1
"8",1,25,1
"9",1,21,1
"10",1,33,0
"11",0,27,0
"12",1,23,0
"13",1,23,0
"14",1,61,0
"15",1,26,0
"16",0,24,0
"17",1,29,0
"18",1,20,0
"19",1,25,1
"20",1,32,1
"21",1,24,1
"22",1,26,1
"23",1,56,0
"24",1,22,1
"25",1,41,0
"26",1,20,1
"27",0,51,0
"28",1,25,1
"29",1,29,0
"30",1,36,0
"31",1,21,1
"32",1,24,0
"33",1,19,1
"34",1,19,1
"35",1,26,0
"36",1,21,1
"37",1,28,0
"38",1,28,0
"39",1,41,0
"40",1,18,1
"41",1,34,0
"42",1,52,1
"43",0,29,1
"44",1,25,0
"45",0,26,0
"46",1,20,0
"47",1,20,1
"48",1,25,1
"49",1,21,0
"50",1,19,0
"51",1,21,0
"52",1,23,0
"53",1,43,0
"54",1,29,0
"55",1,33,0
"56",1,27,0
"57",1,28,0
"58",1,21,1
"59",1,50,0
"60",1,32,0
"61",1,29,1
"62",0,20,0
"63",1,28,0
"64",1,26,0
"65",1,24,0
"66",1,20,1
"67",1,20,0
"68",0,30,0
"69",1,20,0
"70",1,26,0
"71",1,32,1
"72",1,17,0
"73",1,19,1
"74",1,18,0
"75",1,35,1
"76",1,21,0
"77",1,42,0
"78",0,23,1
"79",1,17,0
"80",1,29,0
"81",1,31,0
"82",1,32,0
"83",1,36,1
"84",1,21,0
"85",1,38,0
"86",1,18,1
"87",1,35,0
"88",1,36,0
"89",1,39,1
"90",1,25,0
"91",1,23,1
"92",1,24,0
"93",1,43,0
"94",1,20,1
"95",1,43,0
"96",1,22,1
"97",1,17,1
"98",1,29,1
"99",1,35,0
"100",1,26,0
"101",1,36,0
"102",0,29,0
"103",1,20,0
"104",1,34,1
"105",1,49,1
"106",1,26,1
"107",1,31,1
"108",1,27,0
"109",1,28,1
"110",1,22,0
"111",1,20,0
"112",1,23,1
"113",1,24,1
"114",1,34,1
"115",1,28,1
"116",1,21,0
"117",1,23,1
"118",1,20,1
"119",1,41,1
"120",1,40,1
"121",1,20,0
"122",1,41,0
"123",1,24,0
"124",1,19,1
"125",1,22,0
"126",1,44,1
"127",1,43,0
"128",1,18,1
