"","x","y"
"1",5.41947615843344,2
"2",3.45960845455733,6
"3",4.87350789859974,2
"4",6.15299724931562,1
"5",4.30822431248852,5
"6",6.50587804332221,1
"7",3.79331533751802,5
"8",5.39527902814785,2
"9",5.17465531758722,4
"10",5.55012002524271,3
"11",6.2556332080984,1
"12",6.30555164821732,0
"13",5.71207945031681,3
"14",2.66539340157594,6
"15",5.87322376925056,2
"16",5.44263154057098,0
"17",4.82087781761161,3
"18",5.71587394498995,4
"19",4.95246382843508,6
"20",4.01317269594844,4
"21",5.83542712310046,1
"22",4.57898620912294,3
"23",5.33811571951219,3
"24",5.07393315870193,4
"25",3.44667124026589,6
"26",5.38515582010124,3
"27",5.12263759736239,4
"28",5.20202512317932,5
"29",5.86975704757451,1
"30",3.72961104829413,5
"31",5.99500470869949,1
"32",3.29438982461101,7
"33",4.09978328075224,7
"34",3.3789657805939,6
"35",4.50077638112228,7
"36",5.79066175379488,2
"37",5.43679725120636,2
"38",5.33214642143507,3
"39",7.29051704969016,1
"40",3.87858512255274,5
"41",5.08238078372115,4
"42",4.925604719063,3
"43",4.39381920904687,5
"44",5.51141110549879,2
"45",3.95105956919463,5
"46",4.57849706444864,3
"47",5.16630213630245,5
"48",6.45756854100414,1
"49",4.05526858535319,6
"50",6.84198172069904,0
"51",6.26071597714297,1
"52",4.83870658947411,7
"53",4.04651967406368,7
"54",4.91044468870766,2
"55",3.63960882767164,7
"56",2.41355014584831,8
"57",6.05416387550555,1
"58",4.77912801482472,6
"59",5.60853955358362,1
"60",4.28711589600943,4
"61",6.9773769183392,3
"62",5.67829008500843,2
"63",5.2436171245147,5
"64",5.34372404595823,3
"65",4.03477415225149,7
"66",6.09790881595276,3
"67",4.70889114355948,5
"68",4.8917887116363,3
"69",5.97490588959661,1
"70",5.80336482670128,0
"71",6.9942488972674,1
"72",4.74209342998418,3
"73",5.60922047057448,4
"74",5.89050510432947,4
"75",4.71570141268161,5
"76",4.98239231549072,2
"77",5.2099655109563,1
"78",3.40616988887475,7
"79",5.22863890730931,4
"80",4.91610816741673,1
"81",5.63618827845533,1
"82",7.15253244819165,1
"83",4.21378602062669,6
"84",4.40953233796349,6
"85",5.64696391336875,3
"86",4.8813687839547,3
"87",4.92355739741588,4
"88",4.86702262385111,2
"89",4.36797010244536,6
"90",5.09649127858589,3
"91",5.22080754850926,4
"92",4.54734445559796,5
"93",5.24129755255462,4
"94",6.26065633004143,2
"95",3.58700292981575,7
"96",7.43120733017099,0
"97",5.22182572875265,1
"98",6.03474764724775,1
"99",7.07754612318913,2
"100",3.38790557395748,6
"101",5.43585263056343,3
"102",5.30522760364062,0
"103",5.78872399080898,1
"104",3.40895629110973,5
"105",4.15790946245331,5
"106",6.26594216763545,1
"107",6.74962096229814,1
"108",3.71117905556821,4
"109",5.69428887602959,2
"110",4.36834251122607,5
"111",5.9448240140306,0
"112",3.36854717134156,7
"113",6.05480693163894,3
"114",5.86904539699696,0
"115",4.96251139526929,4
"116",4.51970450925816,5
"117",5.71156305443917,2
"118",4.94926084372655,6
"119",5.89410628985247,1
"120",4.30768291152591,6
"121",4.92994709638121,3
"122",5.74588482317569,3
"123",5.41381383832578,3
"124",7.54040080539352,1
"125",6.21819021770546,1
"126",4.61337913158755,5
"127",4.68795647619746,4
"128",3.87958367935271,7
"129",4.15680538560576,6
"130",4.60908779017283,2
"131",4.43431245348534,4
"132",4.0039189213007,4
"133",4.52812297749565,2
"134",5.75693979497596,4
"135",6.19842021244251,2
"136",3.26038462433695,5
"137",5.35383807702715,2
"138",4.66605203425905,3
"139",4.75321936498232,5
"140",5.2537797830993,3
"141",2.9880378221819,5
"142",6.34949359135255,1
"143",4.65601529248305,4
"144",4.41255998490128,5
"145",4.40338330119442,3
"146",2.91694916817632,8
"147",7.19123610466311,1
"148",5.03804329401425,2
"149",4.37144435836443,0
"150",5.83408805780055,1
"151",4.4158853263615,4
"152",4.36816439985623,7
"153",5.02281602019412,3
"154",4.15163618776243,5
"155",4.31610179544267,4
"156",7.21832669975462,1
"157",4.14735544121949,5
"158",4.13300565784022,6
"159",5.645621293624,4
"160",6.96796943058063,1
"161",5.16889849453356,3
"162",4.6656098341283,4
"163",5.06340260583787,3
"164",5.35420586353382,1
"165",4.89572609316359,4
"166",4.39994714665722,4
"167",4.01523630822972,5
"168",4.53287136594368,7
"169",4.20675316731691,5
"170",6.88292191636377,0
"171",6.10807960222477,1
"172",5.35208944274126,3
"173",5.4055144594819,4
"174",6.40008224690557,0
"175",6.53548905978897,0
"176",5.1612166697537,4
"177",5.35811106073428,3
"178",3.81795304003973,5
"179",5.22703933445858,4
"180",4.79230803352564,5
"181",5.74528623258935,3
"182",4.40686012612752,6
"183",3.88854761831261,5
"184",5.23842893501032,2
"185",5.77106286977745,0
"186",4.77932163258875,5
"187",4.60478398605898,4
"188",3.8760614913714,5
"189",3.68924413613059,5
"190",6.30933782878177,0
"191",3.48088720220258,7
"192",5.77806692690057,2
"193",4.55690806840814,3
"194",5.55034333930416,2
"195",5.89686835668349,3
"196",5.29748821834183,1
"197",4.08243120947198,5
"198",6.07278763117867,2
"199",5.34844650672303,2
"200",4.88187327405525,4
"201",4.75190593799071,5
"202",4.14302371277906,7
"203",4.47870167147589,6
"204",5.63933946862363,2
"205",5.89902493879695,0
"206",5.4210475680854,1
"207",4.17723523216358,3
"208",5.63178304019824,2
"209",5.22579598847637,5
"210",5.60770111888853,1
"211",5.34128432248997,2
"212",4.28113153860953,4
"213",3.69009547589637,5
"214",5.48764729969851,2
"215",3.769673255274,6
"216",4.54011871916278,5
"217",3.87341369060215,5
"218",3.81623299387038,5
"219",3.65049509982731,6
"220",5.66278718043013,2
"221",4.65924908236523,6
"222",4.51594577755399,5
"223",6.25041871724038,2
"224",3.85587904047244,4
"225",4.76711736616485,7
"226",4.30206312032773,6
"227",5.13941520453231,2
"228",4.56779656912679,3
"229",4.84285778209579,3
"230",3.91084307642835,7
"231",4.33675078419182,5
"232",8.28943637495285,0
"233",3.68102209859459,8
"234",5.26477327898087,2
"235",6.41783372787786,2
"236",3.27135455256569,3
"237",3.7959072315997,6
"238",3.98012859789445,6
"239",5.15245615785491,1
"240",4.04222029090583,7
"241",5.38133716825913,3
"242",2.919762612166,7
"243",5.29747798488847,2
"244",4.9174482935898,3
"245",5.39307734571862,2
"246",6.85747786072911,1
"247",6.75335074470735,2
"248",5.6536983542322,3
"249",5.7978319156141,1
"250",4.99488872648598,6
"251",4.98685638564637,3
"252",3.63884395841546,6
"253",6.07801409841579,2
"254",5.28571489585984,4
"255",6.63981919474478,0
"256",5.21946106519756,4
